index,R_norm,G_norm,B_norm,R_8bit,G_8bit,B_8bit,hex
0,0,0,0.5,0,0,128,#000080
1,0,0,0.51568627,0,0,132,#000084
2,0,0,0.53137255,0,0,136,#000088
3,0,0,0.54705882,0,0,140,#00008C
4,0,0,0.5627451,0,0,144,#000090
5,0,0,0.57843137,0,0,147,#000093
6,0,0,0.59411765,0,0,152,#000098
7,0,0,0.60980392,0,0,156,#00009C
8,0,0,0.6254902,0,0,160,#0000A0
9,0,0,0.64117647,0,0,163,#0000A3
10,0,0,0.65686275,0,0,168,#0000A8
11,0,0,0.67254902,0,0,172,#0000AC
12,0,0,0.68823529,0,0,176,#0000B0
13,0,0,0.70392157,0,0,179,#0000B3
14,0,0,0.71960784,0,0,184,#0000B8
15,0,0,0.73529412,0,0,188,#0000BC
16,0,0,0.75098039,0,0,192,#0000C0
17,0,0,0.76666667,0,0,195,#0000C3
18,0,0,0.78235294,0,0,200,#0000C8
19,0,0,0.79803922,0,0,204,#0000CC
20,0,0,0.81372549,0,0,208,#0000D0
21,0,0,0.82941176,0,0,211,#0000D3
22,0,0,0.84509804,0,0,216,#0000D8
23,0,0,0.86078431,0,0,220,#0000DC
24,0,0,0.87647059,0,0,224,#0000E0
25,0,0,0.89215686,0,0,227,#0000E3
26,0,0,0.90784314,0,0,232,#0000E8
27,0,0,0.92352941,0,0,236,#0000EC
28,0,0,0.93921569,0,0,240,#0000F0
29,0,0,0.95490196,0,0,243,#0000F3
30,0,0,0.97058824,0,0,248,#0000F8
31,0,0,0.98627451,0,0,252,#0000FC
32,0,0.0019607843,1,0,0,255,#0000FF
33,0,0.017647059,1,0,5,255,#0005FF
34,0,0.033333333,1,0,8,255,#0008FF
35,0,0.049019608,1,0,13,255,#000DFF
36,0,0.064705882,1,0,16,255,#0010FF
37,0,0.080392157,1,0,21,255,#0015FF
38,0,0.096078431,1,0,24,255,#0018FF
39,0,0.11176471,1,0,29,255,#001DFF
40,0,0.12745098,1,0,32,255,#0020FF
41,0,0.14313725,1,0,37,255,#0025FF
42,0,0.15882353,1,0,40,255,#0028FF
43,0,0.1745098,1,0,45,255,#002DFF
44,0,0.19019608,1,0,48,255,#0030FF
45,0,0.20588235,1,0,53,255,#0035FF
46,0,0.22156863,1,0,56,255,#0038FF
47,0,0.2372549,1,0,61,255,#003DFF
48,0,0.25294118,1,0,64,255,#0040FF
49,0,0.26862745,1,0,69,255,#0045FF
50,0,0.28431373,1,0,72,255,#0048FF
51,0,0.3,1,0,77,255,#004DFF
52,0,0.31568627,1,0,80,255,#0050FF
53,0,0.33137255,1,0,85,255,#0055FF
54,0,0.34705882,1,0,88,255,#0058FF
55,0,0.3627451,1,0,93,255,#005DFF
56,0,0.37843137,1,0,96,255,#0060FF
57,0,0.39411765,1,0,101,255,#0065FF
58,0,0.40980392,1,0,104,255,#0068FF
59,0,0.4254902,1,0,109,255,#006DFF
60,0,0.44117647,1,0,112,255,#0070FF
61,0,0.45686275,1,0,117,255,#0075FF
62,0,0.47254902,1,0,120,255,#0078FF
63,0,0.48823529,1,0,125,255,#007DFF
64,0,0.50392157,1,0,128,255,#0080FF
65,0,0.51960784,1,0,132,255,#0084FF
66,0,0.53529412,1,0,137,255,#0089FF
67,0,0.55098039,1,0,140,255,#008CFF
68,0,0.56666667,1,0,144,255,#0090FF
69,0,0.58235294,1,0,148,255,#0094FF
70,0,0.59803922,1,0,153,255,#0099FF
71,0,0.61372549,1,0,156,255,#009CFF
72,0,0.62941176,1,0,160,255,#00A0FF
73,0,0.64509804,1,0,164,255,#00A4FF
74,0,0.66078431,1,0,169,255,#00A9FF
75,0,0.67647059,1,0,172,255,#00ACFF
76,0,0.69215686,1,0,176,255,#00B0FF
77,0,0.70784314,1,0,180,255,#00B4FF
78,0,0.72352941,1,0,185,255,#00B9FF
79,0,0.73921569,1,0,188,255,#00BCFF
80,0,0.75490196,1,0,192,255,#00C0FF
81,0,0.77058824,1,0,196,255,#00C4FF
82,0,0.78627451,1,0,201,255,#00C9FF
83,0,0.80196078,1,0,204,255,#00CCFF
84,0,0.81764706,1,0,208,255,#00D0FF
85,0,0.83333333,1,0,212,255,#00D4FF
86,0,0.84901961,1,0,217,255,#00D9FF
87,0,0.86470588,1,0,220,255,#00DCFF
88,0,0.88039216,1,0,224,255,#00E0FF
89,0,0.89607843,1,0,228,255,#00E4FF
90,0,0.91176471,1,0,233,255,#00E9FF
91,0,0.92745098,1,0,236,255,#00ECFF
92,0,0.94313725,1,0,240,255,#00F0FF
93,0,0.95882353,1,0,244,255,#00F4FF
94,0,0.9745098,1,0,249,255,#00F9FF
95,0,0.99019608,1,0,252,255,#00FCFF
96,0.0058823529,1,0.99411765,1,255,254,#01FFFE
97,0.021568627,1,0.97843137,5,255,250,#05FFFA
98,0.037254902,1,0.9627451,10,255,245,#0AFFF5
99,0.052941176,1,0.94705882,14,255,242,#0EFFF2
100,0.068627451,1,0.93137255,17,255,238,#11FFEE
101,0.084313725,1,0.91568627,21,255,234,#15FFEA
102,0.1,1,0.9,26,255,229,#1AFFE5
103,0.11568627,1,0.88431373,30,255,226,#1EFFE2
104,0.13137255,1,0.86862745,33,255,222,#21FFDE
105,0.14705882,1,0.85294118,37,255,218,#25FFDA
106,0.1627451,1,0.8372549,42,255,213,#2AFFD5
107,0.17843137,1,0.82156863,46,255,210,#2EFFD2
108,0.19411765,1,0.80588235,49,255,206,#31FFCE
109,0.20980392,1,0.79019608,53,255,202,#35FFCA
110,0.2254902,1,0.7745098,58,255,197,#3AFFC5
111,0.24117647,1,0.75882353,62,255,194,#3EFFC2
112,0.25686275,1,0.74313725,66,255,190,#42FFBE
113,0.27254902,1,0.72745098,69,255,186,#45FFBA
114,0.28823529,1,0.71176471,74,255,181,#4AFFB5
115,0.30392157,1,0.69607843,78,255,178,#4EFFB2
116,0.31960784,1,0.68039216,82,255,174,#52FFAE
117,0.33529412,1,0.66470588,85,255,170,#55FFAA
118,0.35098039,1,0.64901961,90,255,165,#5AFFA5
119,0.36666667,1,0.63333333,94,255,162,#5EFFA2
120,0.38235294,1,0.61764706,98,255,158,#62FF9E
121,0.39803922,1,0.60196078,101,255,154,#65FF9A
122,0.41372549,1,0.58627451,106,255,149,#6AFF95
123,0.42941176,1,0.57058824,110,255,146,#6EFF92
124,0.44509804,1,0.55490196,114,255,142,#72FF8E
125,0.46078431,1,0.53921569,117,255,138,#75FF8A
126,0.47647059,1,0.52352941,122,255,133,#7AFF85
127,0.49215686,1,0.50784314,126,255,130,#7EFF82
128,0.50784314,1,0.49215686,130,255,126,#82FF7E
129,0.52352941,1,0.47647059,133,255,122,#85FF7A
130,0.53921569,1,0.46078431,137,255,118,#89FF76
131,0.55490196,1,0.44509804,141,255,114,#8DFF72
132,0.57058824,1,0.42941176,146,255,109,#92FF6D
133,0.58627451,1,0.41372549,150,255,105,#96FF69
134,0.60196078,1,0.39803922,154,255,101,#9AFF65
135,0.61764706,1,0.38235294,158,255,98,#9EFF62
136,0.63333333,1,0.36666667,162,255,94,#A2FF5E
137,0.64901961,1,0.35098039,165,255,90,#A5FF5A
138,0.66470588,1,0.33529412,169,255,86,#A9FF56
139,0.68039216,1,0.31960784,173,255,82,#ADFF52
140,0.69607843,1,0.30392157,178,255,77,#B2FF4D
141,0.71176471,1,0.28823529,182,255,73,#B6FF49
142,0.72745098,1,0.27254902,186,255,69,#BAFF45
143,0.74313725,1,0.25686275,190,255,66,#BEFF42
144,0.75882353,1,0.24117647,194,255,62,#C2FF3E
145,0.7745098,1,0.2254902,197,255,58,#C5FF3A
146,0.79019608,1,0.20980392,201,255,54,#C9FF36
147,0.80588235,1,0.19411765,205,255,50,#CDFF32
148,0.82156863,1,0.17843137,210,255,45,#D2FF2D
149,0.8372549,1,0.1627451,214,255,41,#D6FF29
150,0.85294118,1,0.14705882,218,255,37,#DAFF25
151,0.86862745,1,0.13137255,222,255,33,#DEFF21
152,0.88431373,1,0.11568627,226,255,30,#E2FF1E
153,0.9,1,0.1,229,255,26,#E5FF1A
154,0.91568627,1,0.084313725,233,255,22,#E9FF16
155,0.93137255,1,0.068627451,237,255,18,#EDFF12
156,0.94705882,1,0.052941176,242,255,13,#F2FF0D
157,0.9627451,1,0.037254902,246,255,9,#F6FF09
158,0.97843137,1,0.021568627,250,255,5,#FAFF05
159,0.99411765,1,0.0058823529,254,255,1,#FEFF01
160,1,0.99019608,0,255,252,0,#FFFC00
161,1,0.9745098,0,255,249,0,#FFF900
162,1,0.95882353,0,255,245,0,#FFF500
163,1,0.94313725,0,255,241,0,#FFF100
164,1,0.92745098,0,255,236,0,#FFEC00
165,1,0.91176471,0,255,232,0,#FFE800
166,1,0.89607843,0,255,228,0,#FFE400
167,1,0.88039216,0,255,224,0,#FFE000
168,1,0.86470588,0,255,220,0,#FFDC00
169,1,0.84901961,0,255,217,0,#FFD900
170,1,0.83333333,0,255,213,0,#FFD500
171,1,0.81764706,0,255,209,0,#FFD100
172,1,0.80196078,0,255,204,0,#FFCC00
173,1,0.78627451,0,255,200,0,#FFC800
174,1,0.77058824,0,255,196,0,#FFC400
175,1,0.75490196,0,255,192,0,#FFC000
176,1,0.73921569,0,255,188,0,#FFBC00
177,1,0.72352941,0,255,185,0,#FFB900
178,1,0.70784314,0,255,181,0,#FFB500
179,1,0.69215686,0,255,177,0,#FFB100
180,1,0.67647059,0,255,172,0,#FFAC00
181,1,0.66078431,0,255,168,0,#FFA800
182,1,0.64509804,0,255,164,0,#FFA400
183,1,0.62941176,0,255,160,0,#FFA000
184,1,0.61372549,0,255,156,0,#FF9C00
185,1,0.59803922,0,255,153,0,#FF9900
186,1,0.58235294,0,255,149,0,#FF9500
187,1,0.56666667,0,255,145,0,#FF9100
188,1,0.55098039,0,255,140,0,#FF8C00
189,1,0.53529412,0,255,136,0,#FF8800
190,1,0.51960784,0,255,132,0,#FF8400
191,1,0.50392157,0,255,128,0,#FF8000
192,1,0.48823529,0,255,125,0,#FF7D00
193,1,0.47254902,0,255,121,0,#FF7900
194,1,0.45686275,0,255,117,0,#FF7500
195,1,0.44117647,0,255,113,0,#FF7100
196,1,0.4254902,0,255,108,0,#FF6C00
197,1,0.40980392,0,255,104,0,#FF6800
198,1,0.39411765,0,255,100,0,#FF6400
199,1,0.37843137,0,255,96,0,#FF6000
200,1,0.3627451,0,255,93,0,#FF5D00
201,1,0.34705882,0,255,89,0,#FF5900
202,1,0.33137255,0,255,85,0,#FF5500
203,1,0.31568627,0,255,81,0,#FF5100
204,1,0.3,0,255,76,0,#FF4C00
205,1,0.28431373,0,255,72,0,#FF4800
206,1,0.26862745,0,255,68,0,#FF4400
207,1,0.25294118,0,255,64,0,#FF4000
208,1,0.2372549,0,255,61,0,#FF3D00
209,1,0.22156863,0,255,57,0,#FF3900
210,1,0.20588235,0,255,53,0,#FF3500
211,1,0.19019608,0,255,49,0,#FF3100
212,1,0.1745098,0,255,44,0,#FF2C00
213,1,0.15882353,0,255,40,0,#FF2800
214,1,0.14313725,0,255,36,0,#FF2400
215,1,0.12745098,0,255,32,0,#FF2000
216,1,0.11176471,0,255,29,0,#FF1D00
217,1,0.096078431,0,255,25,0,#FF1900
218,1,0.080392157,0,255,21,0,#FF1500
219,1,0.064705882,0,255,17,0,#FF1100
220,1,0.049019608,0,255,12,0,#FF0C00
221,1,0.033333333,0,255,8,0,#FF0800
222,1,0.017647059,0,255,4,0,#FF0400
223,1,0.0019607843,0,255,0,0,#FF0000
224,0.98627451,0,0,252,0,0,#FC0000
225,0.97058824,0,0,248,0,0,#F80000
226,0.95490196,0,0,244,0,0,#F40000
227,0.93921569,0,0,240,0,0,#F00000
228,0.92352941,0,0,235,0,0,#EB0000
229,0.90784314,0,0,231,0,0,#E70000
230,0.89215686,0,0,227,0,0,#E30000
231,0.87647059,0,0,224,0,0,#E00000
232,0.86078431,0,0,220,0,0,#DC0000
233,0.84509804,0,0,216,0,0,#D80000
234,0.82941176,0,0,212,0,0,#D40000
235,0.81372549,0,0,208,0,0,#D00000
236,0.79803922,0,0,203,0,0,#CB0000
237,0.78235294,0,0,199,0,0,#C70000
238,0.76666667,0,0,195,0,0,#C30000
239,0.75098039,0,0,192,0,0,#C00000
240,0.73529412,0,0,188,0,0,#BC0000
241,0.71960784,0,0,184,0,0,#B80000
242,0.70392157,0,0,180,0,0,#B40000
243,0.68823529,0,0,176,0,0,#B00000
244,0.67254902,0,0,171,0,0,#AB0000
245,0.65686275,0,0,167,0,0,#A70000
246,0.64117647,0,0,163,0,0,#A30000
247,0.6254902,0,0,160,0,0,#A00000
248,0.60980392,0,0,156,0,0,#9C0000
249,0.59411765,0,0,152,0,0,#980000
250,0.57843137,0,0,148,0,0,#940000
251,0.5627451,0,0,144,0,0,#900000
252,0.54705882,0,0,139,0,0,#8B0000
253,0.53137255,0,0,135,0,0,#870000
254,0.51568627,0,0,132,0,0,#840000
255,0.5,0,0,128,0,0,#800000
